tasca,dia,descripcio,persones,recompensa,Observacions
BARRES,25-07 DIJOUS,Dijous 25/07 de 17:45 a 19:45,6,10,"{BARRA 1, BARRA 2, BARRA 3}"
BARRES,25-07 DIJOUS,Dijous 25/07 de 19:30 a 22:30,21,15,"{BARRA 1, BARRA 2, BARRA 3}"
BARRES,25-07 DIJOUS,Dijous 25/07 de 22:15 a 01:15,21,15,"{BARRA 1, BARRA 2, BARRA 3}"
BARRES,25-07 DIJOUS,Dijous 25/07 de 01:15 a 03:15,13,10,"{BARRA 1, BARRA 2}"
BARRES,26-07 DIVENDRES,Divendres 26/07 de 17:45 a 19:45,6,10,"{BARRA 1, BARRA 2, BARRA 3}"
BARRES,26-07 DIVENDRES,Divendres 26/07 de 19:30 a 22:30,21,15,"{BARRA 1, BARRA 2, BARRA 3}"
BARRES,26-07 DIVENDRES,Divendres 26/07 de 22:15 a 01:15,21,15,"{BARRA 1, BARRA 2, BARRA 3}"
BARRES,26-07 DIVENDRES,Divendres 26/07 de 01:15 a 04:15,18,15,"{BARRA 1, BARRA 2}"
BARRES,27-07 DISSABTE,Dissabte 27/07 de 17:45 a 19:45,6,10,"{BARRA 1, BARRA 2, BARRA 3}"
BARRES,27-07 DISSABTE,Dissabte 27/07 de 19:30 a 22:30,21,15,"{BARRA 1, BARRA 2, BARRA 3}"
BARRES,27-07 DISSABTE,Dissabte 27/07 de 22:15 a 01:15,21,15,"{BARRA 1, BARRA 2, BARRA 3}"
BARRES,27-07 DISSABTE,Dissabte 27/07 de 01:15 a 04:15,18,15,"{BARRA 1, BARRA 2}"
SUBCAPS DE BARRES,25-07 DIJOUS,Dijous: BARRA 1 - 1r torn (18:30 a 23:30),3,25,{}
SUBCAPS DE BARRES,25-07 DIJOUS,Dijous: BARRA 1 - 2n torn (23:00 a 03:30),3,25,{}
SUBCAPS DE BARRES,25-07 DIJOUS,Dijous: BARRA 2 - 1r torn (18:15 a 23:15),3,25,{}
SUBCAPS DE BARRES,25-07 DIJOUS,Dijous: BARRA 2 - 2n torn (23:15 a 04:15),3,25,{}
SUBCAPS DE BARRES,25-07 DIJOUS,Dijous: BARRA 3 - Torn únic (20:00 a 01:00),2,25,{}
SUBCAPS DE BARRES,26-07 DIVENDRES,Divendres: BARRA 1 - 1r torn (18:15 a 23:15),3,25,{}
SUBCAPS DE BARRES,26-07 DIVENDRES,Divendres: BARRA 1 - 2n torn (23:15 a 04:15),3,25,{}
SUBCAPS DE BARRES,26-07 DIVENDRES,Divendres: BARRA 2 - 1r torn (18:15 a 23:15),3,25,{}
SUBCAPS DE BARRES,26-07 DIVENDRES,Divendres: BARRA 2 - 2n torn (23:15 a 04:15),3,25,{}
SUBCAPS DE BARRES,26-07 DIVENDRES,Divendres: BARRA 3 - Torn únic (20:00 a 01:00),2,25,{}
SUBCAPS DE BARRES,27-07 DISSABTE,Dissabte: BARRA 1 - 1r torn (18:15 a 23:15),3,25,{}
SUBCAPS DE BARRES,27-07 DISSABTE,Dissabte: BARRA 1 - 2n torn (23:15 a 04:15),3,25,{}
SUBCAPS DE BARRES,27-07 DISSABTE,Dissabte: BARRA 2 - 1r torn (18:15 a 23:15),3,25,{}
SUBCAPS DE BARRES,27-07 DISSABTE,Dissabte: BARRA 2 - 2n torn (23:15 a 04:15),3,25,{}
SUBCAPS DE BARRES,27-07 DISSABTE,Dissabte: BARRA 3 - Torn únic (20:00 a 01:00),2,25,{}
ENTRADES,25-07 DIJOUS,"Dijous 25/07 de 17:30 a 20:30",6,20,{}
ENTRADES,25-07 DIJOUS,"Dijous 25/07 de 19:30 a 22:30",8,20,{}
ENTRADES,25-07 DIJOUS,"Dijous 25/07 de 21:30 a 00:30",6,20,{}
ENTRADES,26-07 DIVENDRES,"Divendres 26/07 de 17:30 a 20:30",6,20,{}
ENTRADES,26-07 DIVENDRES,"Divendres 26/07 de 19:30 a 22:30",8,20,{}
ENTRADES,26-07 DIVENDRES,"Divendres 26/07 de 21:30 a 00:30",6,20,{}
ENTRADES,27-07 DISSABTE,"Dissabte 27/07 de 17:30 a 20:30",6,20,{}
ENTRADES,27-07 DISSABTE,"Dissabte 27/07 de 19:30 a 22:30",8,20,{}
ENTRADES,27-07 DISSABTE,"Dissabte 27/07 de 21:30 a 00:30",6,20,{}
MARXANDATGE,25-07 DIJOUS,Dissabte 27/07 de 18:00 a 21:00,2,15,{}
MARXANDATGE,25-07 DIJOUS,Dissabte 27/07 de 21:00 a 00:00,2,15,{}
MARXANDATGE,26-07 DIVENDRES,Divendres 26/07 de 18:00 a 21:00,2,15,{}
MARXANDATGE,26-07 DIVENDRES,Divendres 26/07 de 21:00 a 00:00,2,15,{}
