nom,descripció
ENTRADA DE DIJOUS,Entrada de dijous d'El Tingladu
ENTRADA DE DIVENDRES,Entrada de divendres d'El Tingladu
ENTRADA DE DISSABTE,Entrada de dissabte d'El Tingladu
ABONAMENT TRES DIES,Abonament pels tres dies d'El Tingladu
VOLUNTARI DE DIJOUS,Pulsera de voluntari per dijous
VOLUNTARI DE DIVENDRES,Pulsera de voluntari per divendres
VOLUNTARI DE DISSABTE,Pulsera de voluntari per dissabte
ACREDITACIÓ COL·LABORADOR,"Voluntariat de cuina, comunicació i tresoreria" 
ACREDITACIÓ GLOBUS,Voluntariat de Globus
ACREDITACIÓ ORGANITZACIÓ,Voluntariat d'organització
ACREDITACIÓ TREBALLADOR,Professionals de so i seguretat
ACREDITACIÓ PUNT LILA I FOOD TRUCK,Professionals del punt lila i les food truck
